driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
253,43,0,28,28,0,0,-11.2529975020816,-11.2529975020816,-11.2529975020816,16.795518659823284,no_clutter,True
253,43,1,30,30,7,4,10.251790174854287,6.540473747743123,5.565332989830312,17.907775858426437,no_clutter,True
253,44,0,28,28,0,0,-11.2529975020816,-11.2529975020816,-11.2529975020816,16.795518659823284,no_clutter,True
253,44,1,30,30,7,4,10.251790174854287,6.540473747743123,5.565332989830312,17.907775858426437,no_clutter,True
254,42,0,40,40,29,19,40.67964196502914,34.70203341313141,37.35186776730193,8.687101544732624,no_clutter,True
254,43,0,40,40,29,19,40.67964196502914,34.70203341313141,37.35186776730193,8.687101544732624,no_clutter,True
254,44,0,40,40,29,19,40.67964196502914,34.70203341313141,37.35186776730193,8.687101544732624,no_clutter,True
255,42,0,23,23,6,3,15.494837635303911,10.764166339650808,11.630250599582647,16.425615469695654,no_clutter,True
255,42,1,23,23,6,3,15.308034970857618,10.577363675204515,11.443447935136353,16.70442541663042,no_clutter,True
255,43,0,23,23,6,3,15.494837635303911,10.764166339650808,11.630250599582647,16.425615469695654,no_clutter,True
255,43,1,23,23,6,3,15.308034970857618,10.577363675204515,11.443447935136353,16.70442541663042,no_clutter,True
255,44,0,23,23,6,3,15.494837635303911,10.764166339650808,11.630250599582647,16.425615469695654,no_clutter,True
255,44,1,23,23,6,3,15.308034970857618,10.577363675204515,11.443447935136353,16.70442541663042,no_clutter,True
256,42,0,28,28,9,4,6.948626144879267,4.758909441232026,-1.550712559263086,7.539363962866766,no_clutter,True
256,42,1,26,26,4,1,-1.3329725228975855,-2.669115560470498,-3.7334119598130964,8.332794810294903,no_clutter,True
256,43,0,28,28,9,4,6.948626144879267,4.758909441232026,-1.550712559263086,7.539363962866766,no_clutter,True
256,43,1,26,26,4,1,-1.3329725228975855,-2.669115560470498,-3.7334119598130964,8.332794810294903,no_clutter,True
256,44,0,28,28,9,4,6.948626144879267,4.758909441232026,-1.550712559263086,7.539363962866766,no_clutter,True
256,44,1,26,26,4,1,-1.3329725228975855,-2.669115560470498,-3.7334119598130964,8.332794810294903,no_clutter,True
257,42,0,7,7,1,1,-1.816985845129059,-2.35867728790938,-4.42770156656754,10.174605738998595,no_clutter,True
257,43,0,7,7,1,1,-1.816985845129059,-2.35867728790938,-4.42770156656754,10.174605738998595,no_clutter,True
257,44,0,7,7,1,1,-1.816985845129059,-2.35867728790938,-4.42770156656754,10.174605738998595,no_clutter,True
258,42,0,6,6,8,8,21.025603663613655,17.359564083668328,17.440595654331553,10.782681099084098,no_clutter,True
258,43,0,6,6,8,8,21.025603663613655,17.359564083668328,17.440595654331553,10.782681099084098,no_clutter,True
258,44,0,6,6,8,8,21.025603663613655,17.359564083668328,17.440595654331553,10.782681099084098,no_clutter,True
259,42,0,9,9,9,8,30.640424646128224,28.100970741780024,25.4540884289612,10.98444082667429,no_clutter,True
259,43,0,9,9,9,8,30.640424646128224,28.100970741780024,25.4540884289612,10.98444082667429,no_clutter,True
259,44,0,9,9,9,8,30.640424646128224,28.100970741780024,25.4540884289612,10.98444082667429,no_clutter,True
260,42,0,16,16,12,7,35.03218151540383,29.479483460844996,29.522099330345974,8.160923111337567,no_clutter,True
260,43,0,16,16,12,7,35.03218151540383,29.479483460844996,29.522099330345974,8.160923111337567,no_clutter,True
260,44,0,16,16,12,7,35.03218151540383,29.479483460844996,29.522099330345974,8.160923111337567,no_clutter,True
261,42,0,23,23,22,5,23.664571190674437,18.507971053693176,17.391252766132006,0.8737743422769584,no_clutter,True
261,43,0,23,23,22,5,23.664571190674437,18.507971053693176,17.391252766132006,0.8737743422769584,no_clutter,True
261,44,0,23,23,22,5,23.664571190674437,18.507971053693176,17.391252766132006,0.8737743422769584,no_clutter,True
262,42,0,22,22,16,11,44.41931723563697,38.02398792002556,42.290891271166934,7.956242931885121,no_clutter,True
262,43,0,22,22,16,11,44.41931723563697,38.02398792002556,42.290891271166934,7.956242931885121,no_clutter,True
262,44,0,22,22,16,11,44.41931723563697,38.02398792002556,42.290891271166934,7.956242931885121,no_clutter,True
