policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
rendezvous_only,44,500,500,0,1.0,2756427,965,6208.54775187344,12.417095503746879,0.000350090896657158,2.5851640759930934,3.986112000371462,0.6203125844517631,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_only,45,500,500,0,1.0,2756427,942,5963.79775187344,11.927595503746879,0.00034174676129641743,2.613234253361644,3.986112000371462,0.6203125844517631,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_only,46,500,500,0,1.0,2756427,961,6181.54775187344,12.36309550374688,0.000348639742681377,2.610371141172391,3.986112000371462,0.6203125844517631,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_observable,42,500,500,0,1.0,2756427,949,5997.003080766028,11.994006161532056,0.00034428628075403413,2.563610818405339,3.921185904095826,0.6403859354004329,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_observable,43,500,500,0,1.0,2756427,953,6098.003080766029,12.196006161532058,0.00034573743472981507,2.60152151101784,3.921185904095826,0.6403859354004329,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_observable,44,500,500,0,1.0,2756427,964,6225.25308076603,12.45050616153206,0.00034972810816321276,2.59581604426003,3.921185904095826,0.6403859354004329,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_observable,45,500,500,0,1.0,2756427,954,5931.753080766028,11.863506161532056,0.00034610022322376034,2.565006988120196,3.921185904095826,0.6403859354004329,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_observable,46,500,500,0,1.0,2756427,972,6224.753080766029,12.449506161532057,0.0003526304161147747,2.5705246913580257,3.921185904095826,0.6403859354004329,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
ml_meeting_point_comparator,42,500,500,0,1.0,2756427,961,6128.503080766028,12.257006161532056,0.000348639742681377,2.5659902878945546,3.9205477724697873,0.6387902336212775,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
ml_meeting_point_comparator,43,500,500,0,1.0,2756427,971,6291.253080766028,12.582506161532056,0.0003522676276208294,2.5729831788534168,3.9205477724697873,0.6387902336212775,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
ml_meeting_point_comparator,44,500,500,0,1.0,2756427,953,5978.503080766027,11.957006161532053,0.00034573743472981507,2.565127667016439,3.9205477724697873,0.6387902336212775,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
ml_meeting_point_comparator,45,500,500,0,1.0,2756427,980,6189.503080766029,12.379006161532057,0.0003555327240663366,2.562142857142857,3.9205477724697873,0.6387902336212775,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
ml_meeting_point_comparator,46,500,500,0,1.0,2756427,956,6144.753080766028,12.289506161532056,0.0003468258002116508,2.5422071129707127,3.9205477724697873,0.6387902336212775,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
