policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,43,2015-04-02T05:09:00,12,0,0,0,0.0,-8.22323064113239,-8.22323064113239,0.0,0.0,0.0,41,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T07:52:00,296,0,2,2,11.5,0.6136552872606149,-4.6849509366204956,3.4333333333333336,5.2986062238811105,0.8791855141759068,466,1158554;2583144,1158554;2583144,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T08:42:00,343,1,2,3,29.0,16.133805162364695,22.193348251005368,2.833333333333333,2.460304607572885,0.5142562950060182,524,896170;2368055;1463467,896170;2368055,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T08:53:00,275,1,0,0,0.0,-8.242631140716071,-8.242631140716071,0.0,0.0,0.0,466,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T08:59:00,332,0,2,3,26.0,20.597626977518733,29.406630668497403,2.408333333333333,2.6273308726808877,0.5537640958826233,429,1550925;253668;2511308,1550925;2511308,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T09:35:00,255,0,3,3,33.0,21.99483763530391,17.229059973085064,2.3444444444444446,3.177185108145896,0.5294129409180774,433,969218;1277645;2455539,969218;1277645;2455539,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T10:59:00,348,0,2,2,17.75,6.962614487926727,2.3966337557749338,4.008333333333333,4.565980732151793,0.47810322464175653,351,694985;246205,694985;246205,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T14:01:00,347,0,2,3,29.5,17.052914238134885,30.113060781061694,2.4833333333333334,2.1265689713821287,0.6403925293851088,351,1801654;500783;2434961,1801654;2434961,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T14:13:00,65,0,3,3,49.5,44.07647793505412,39.76713010786361,3.8166666666666664,2.872898551460341,0.6728252064953688,405,10717;1901452;2630727,10717;1901452;2630727,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T15:14:00,415,0,2,2,12.25,7.180183180682763,4.182130963229523,2.375,2.9980522174532402,0.48719334771144784,356,1868658;1069799,1868658;1069799,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
