driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
11,46,all_day,,,0,24,24,4,2,-4.2139050791007495,-4.862348094109618,-5.926694833639923,17.85657474492649,calibrated,full,True
11,46,all_day,,,1,25,25,6,5,3.39987510407993,1.6061067473854127,-0.22405551555676517,19.179290889432938,calibrated,full,True
12,42,all_day,,,0,3,3,0,0,-8.22323064113239,-8.22323064113239,-8.22323064113239,12.273478568854314,calibrated,full,True
12,43,all_day,,,0,3,3,0,0,-8.22323064113239,-8.22323064113239,-8.22323064113239,12.273478568854314,calibrated,full,True
12,44,all_day,,,0,3,3,0,0,-8.22323064113239,-8.22323064113239,-8.22323064113239,12.273478568854314,calibrated,full,True
12,45,all_day,,,0,3,3,0,0,-8.22323064113239,-8.22323064113239,-8.22323064113239,12.273478568854314,calibrated,full,True
12,46,all_day,,,0,3,3,0,0,-8.22323064113239,-8.22323064113239,-8.22323064113239,12.273478568854314,calibrated,full,True
13,42,all_day,,,0,15,15,15,15,15.645711906744378,12.90892201600592,11.917543502348455,11.349683721277046,calibrated,full,True
13,42,all_day,,,1,15,15,15,15,15.178934221482097,12.44214433074364,11.450765817086173,12.04636683360881,calibrated,full,True
13,43,all_day,,,0,15,15,15,15,15.645711906744378,12.90892201600592,11.917543502348455,11.349683721277046,calibrated,full,True
13,43,all_day,,,1,15,15,15,15,15.178934221482097,12.44214433074364,11.450765817086173,12.04636683360881,calibrated,full,True
13,44,all_day,,,0,15,15,15,15,15.645711906744378,12.90892201600592,11.917543502348455,11.349683721277046,calibrated,full,True
13,44,all_day,,,1,15,15,15,15,15.178934221482097,12.44214433074364,11.450765817086173,12.04636683360881,calibrated,full,True
13,45,all_day,,,0,15,15,15,15,15.645711906744378,12.90892201600592,11.917543502348455,11.349683721277046,calibrated,full,True
13,45,all_day,,,1,15,15,15,15,15.178934221482097,12.44214433074364,11.450765817086173,12.04636683360881,calibrated,full,True
13,46,all_day,,,0,15,15,15,15,15.645711906744378,12.90892201600592,11.917543502348455,11.349683721277046,calibrated,full,True
13,46,all_day,,,1,15,15,15,15,15.178934221482097,12.44214433074364,11.450765817086173,12.04636683360881,calibrated,full,True
14,42,all_day,,,0,71,71,33,33,45.271856786011654,39.22805992533719,42.586427995724506,8.176333155206482,calibrated,full,True
14,43,all_day,,,0,71,71,33,33,45.271856786011654,39.22805992533719,42.586427995724506,8.176333155206482,calibrated,full,True
