driver_id,seed,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,8.908231828971196,10.766401133383871,7.213488759367194,8.908231828971196,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,18.0,8.245119117153617,5.524229808492924,4.0478454724932895,30.0,0.0,-5.524229808492924,0,3,18,18,6,1,0.17980501873241428,5.812185281268519,30.0
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-5.524229808492924,8.245119117153617,5.524229808492924,14.725770191507076,20.25,20.25,14.725770191507076,3,3,18,18,6,1,0.5906122004841733,3.0941714336802186,0.0
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,6.0,8.245119117153617,5.524229808492924,14.725770191507076,20.25,17.5,11.975770191507076,2,3,18,18,6,1,0.5906122004841733,3.0941714336802186,2.75
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,10.084513040986748,8.245119117153617,5.524229808492924,10.084513040986748,20.25,15.25,9.725770191507076,2,3,18,18,6,1,0.5906122004841733,3.0941714336802186,5.0
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,14.725770191507076,8.245119117153617,5.524229808492924,14.725770191507076,20.25,15.25,9.725770191507076,2,3,18,18,6,1,0.5906122004841733,3.0941714336802186,5.0
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,10.1754223209229,8.245119117153617,5.524229808492924,10.1754223209229,20.25,7.75,2.225770191507076,2,3,18,18,6,1,0.5946021334960546,3.3832860278265575,12.5
4,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,11.51607468687653,8.245119117153617,5.524229808492924,11.51607468687653,20.25,20.25,14.725770191507076,3,3,18,18,6,1,0.5946021334960546,3.3832860278265575,0.0
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,18.0,8.245119117153617,5.524229808492924,4.0478454724932895,30.0,12.5,6.975770191507076,1,3,18,18,6,1,0.17980501873241428,5.812185281268519,17.5
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-5.524229808492924,8.245119117153617,5.524229808492924,14.725770191507076,20.25,20.25,14.725770191507076,3,3,18,18,6,1,0.5906122004841733,3.0941714336802186,0.0
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,6.0,8.245119117153617,5.524229808492924,14.725770191507076,20.25,15.25,9.725770191507076,2,3,18,18,6,1,0.5906122004841733,3.0941714336802186,5.0
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,10.084513040986748,8.245119117153617,5.524229808492924,10.084513040986748,20.25,20.25,14.725770191507076,3,3,18,18,6,1,0.5906122004841733,3.0941714336802186,0.0
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,14.725770191507076,8.245119117153617,5.524229808492924,14.725770191507076,20.25,7.75,2.225770191507076,2,3,18,18,6,1,0.5906122004841733,3.0941714336802186,12.5
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,10.1754223209229,8.245119117153617,5.524229808492924,10.1754223209229,20.25,15.25,9.725770191507076,2,3,18,18,6,1,0.5946021334960546,3.3832860278265575,5.0
4,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,11.51607468687653,8.245119117153617,5.524229808492924,11.51607468687653,20.25,7.75,2.225770191507076,2,3,18,18,6,1,0.5946021334960546,3.3832860278265575,12.5
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,1,26.0,18.018255931002773,12.07223147377186,-1.3324000974053867,39.25,14.0,1.9277685262281405,1,3,26,26,6,0,0.18094234383133767,4.781387555818982,25.25
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-11.32697751873439,16.905936595125954,11.32697751873439,2.67302248126561,14.0,14.0,2.67302248126561,1,1,23,23,2,0,0.542827031494013,2.344162667456945,0.0
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,1,6.0,18.018255931002773,12.07223147377186,7.9277685262281405,20.0,14.0,1.9277685262281405,1,2,26,26,6,0,0.5501701314307478,4.119070493714692,6.0
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,1,3.8086980325134494,18.018255931002773,12.07223147377186,3.8086980325134494,20.0,20.0,7.9277685262281405,2,2,26,26,6,0,0.5501701314307478,4.119070493714692,0.0
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,1,7.9277685262281405,18.018255931002773,12.07223147377186,7.9277685262281405,20.0,20.0,7.9277685262281405,2,2,26,26,6,0,0.5501701314307478,4.119070493714692,0.0
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,1,3.3535554708142623,18.018255931002773,12.07223147377186,3.3535554708142623,20.0,6.0,-6.0722314737718595,1,2,26,26,6,0,0.5544490433001845,4.329382622635441,14.0
5,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,1,4.770241453008323,18.018255931002773,12.07223147377186,4.770241453008323,20.0,6.0,-6.0722314737718595,1,2,26,26,6,0,0.5544490433001845,4.329382622635441,14.0
5,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,1,26.0,18.018255931002773,12.07223147377186,-1.3324000974053867,39.25,14.0,1.9277685262281405,1,3,26,26,6,0,0.18094234383133767,4.781387555818982,25.25
5,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-11.32697751873439,16.905936595125954,11.32697751873439,2.67302248126561,14.0,0.0,-11.32697751873439,0,1,23,23,2,0,0.542827031494013,2.344162667456945,14.0
5,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,1,6.0,18.018255931002773,12.07223147377186,7.9277685262281405,20.0,20.0,7.9277685262281405,2,2,26,26,6,0,0.5501701314307478,4.119070493714692,0.0
5,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,1,3.8086980325134494,18.018255931002773,12.07223147377186,3.8086980325134494,20.0,20.0,7.9277685262281405,2,2,26,26,6,0,0.5501701314307478,4.119070493714692,0.0
