policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,43,2015-04-29T08:21:00,219,1,0,0,0.0,-6.002414654454621,-6.002414654454621,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T08:42:00,239,0,0,0,0.0,-7.01661115736886,-7.01661115736886,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T12:51:00,85,0,0,0,0.0,-9.55961698584513,-9.55961698584513,0.0,0.0,0.0,3,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T12:58:00,154,0,0,0,0.0,-6.399208992506245,-6.399208992506245,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T13:49:00,133,0,0,0,0.0,-6.272398001665279,-6.272398001665279,0.0,0.0,0.0,3,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T15:54:00,159,1,0,0,0.0,-8.622772689425481,-8.622772689425481,0.0,0.0,0.0,5,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T17:10:00,98,0,0,0,0.0,-9.437468776019983,-9.437468776019983,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T17:32:00,220,0,0,0,0.0,-12.053746877601998,-12.053746877601998,0.0,0.0,0.0,5,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T20:17:00,72,0,0,0,0.0,-6.747085761865113,-6.747085761865113,0.0,0.0,0.0,9,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T22:52:00,236,1,0,0,0.0,-7.194213155703581,-7.194213155703581,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-29T23:00:00,13,0,0,0,0.0,-6.8251873438801,-6.8251873438801,0.0,0.0,0.0,7,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T05:23:00,132,0,0,0,0.0,-6.956328059950041,-6.956328059950041,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T06:11:00,178,1,1,1,9.75,-1.9291840133222333,-4.030169410826563,2.7333333333333334,4.201970795008659,0.5240959910123761,1,21097,21097,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T08:31:00,34,0,0,0,0.0,-6.5129059117402175,-6.5129059117402175,0.0,0.0,0.0,5,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T12:09:00,95,0,0,0,0.0,-7.250416319733556,-7.250416319733556,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T12:14:00,113,0,0,0,0.0,-9.073272273105747,-9.073272273105747,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T14:29:00,17,0,0,0,0.0,-5.123355537052457,-5.123355537052457,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T16:12:00,77,1,0,0,0.0,-6.035886761032474,-6.035886761032474,0.0,0.0,0.0,7,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T16:54:00,108,1,0,0,0.0,-10.368442964196504,-10.368442964196504,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T20:11:00,32,0,0,0,0.0,-8.822731057452124,-8.822731057452124,0.0,0.0,0.0,10,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-30T20:33:00,221,0,0,0,0.0,-7.046794338051625,-7.046794338051625,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-01T09:13:00,187,0,0,0,0.0,-7.826686094920901,-7.826686094920901,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-01T11:33:00,223,0,0,0,0.0,-7.72202331390508,-7.72202331390508,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-01T22:10:00,4,0,0,0,0.0,-4.68601165695254,-4.68601165695254,0.0,0.0,0.0,8,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T07:55:00,21,1,0,0,0.0,-6.279850124895921,-6.279850124895921,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T09:40:00,138,0,0,0,0.0,-7.323646960865946,-7.323646960865946,0.0,0.0,0.0,8,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T10:13:00,25,1,0,0,0.0,-7.163738551207328,-7.163738551207328,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T13:14:00,65,1,0,0,0.0,-10.594254787676938,-10.594254787676938,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T18:52:00,247,0,0,0,0.0,-7.540757701915072,-7.540757701915072,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-02T20:24:00,118,0,0,0,0.0,-10.449708576186513,-10.449708576186513,0.0,0.0,0.0,9,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T01:54:00,199,1,0,0,0.0,-7.2254787676935885,-7.2254787676935885,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T02:14:00,82,0,0,0,0.0,-5.296544546211491,-5.296544546211491,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T04:18:00,152,0,0,0,0.0,-7.052581182348043,-7.052581182348043,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T05:09:00,47,1,0,0,0.0,-7.992298084929227,-7.992298084929227,0.0,0.0,0.0,0,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T08:41:00,197,0,0,0,0.0,-7.767027477102416,-7.767027477102416,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T13:41:00,10,0,0,0,0.0,-8.188759367194006,-8.188759367194006,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T14:02:00,162,0,0,0,0.0,-8.099708576186512,-8.099708576186512,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T18:42:00,218,0,0,1,0.0,-12.030183180682764,-8.948565786864759,0.0,2.836765212363988,0.6526256061381732,8,33885,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T18:55:00,119,0,0,0,0.0,-7.089134054954205,-7.089134054954205,0.0,0.0,0.0,10,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
